pressure,temperature,salinity,latitude,longitude,time,float_id,year,month,day,cluster
96.28,24.893,34.240974,15.6454,90.7354,2025-10-01 00:33:07.000048128,b'5907152 ',2025,10,1,0
97.98,24.728,34.233974,15.6454,90.7354,2025-10-01 00:33:07.000048128,b'5907152 ',2025,10,1,0
0.1,28.077,32.393,12.916666666666666,88.11666666666666,2024-01-29 14:03:30.000001024,b'7901126 ',2024,1,29,1
0.8,28.075,32.394,12.916666666666666,88.11666666666666,2024-01-29 14:03:30.000001024,b'7901126 ',2024,1,29,1
2.0,28.079,32.394,12.916666666666666,88.11666666666666,2024-01-29 14:03:30.000001024,b'7901126 ',2024,1,29,1
3.0,28.081,32.393,12.916666666666666,88.11666666666666,2024-01-29 14:03:30.000001024,b'7901126 ',2024,1,29,1
4.0,28.081,32.393,12.916666666666666,88.11666666666666,2024-01-29 14:03:30.000001024,b'7901126 ',2024,1,29,1
5.1,28.083,32.393,12.916666666666666,88.11666666666666,2024-01-29 14:03:30.000001024,b'7901126 ',2024,1,29,1
6.3,28.085,32.392,12.916666666666666,88.11666666666666,2024-01-29 14:03:30.000001024,b'7901126 ',2024,1,29,1
7.4,28.082,32.394,12.916666666666666,88.11666666666666,2024-01-29 14:03:30.000001024,b'7901126 ',2024,1,29,1
8.6,28.084,32.394,12.916666666666666,88.11666666666666,2024-01-29 14:03:30.000001024,b'7901126 ',2024,1,29,1
9.8,28.084,32.394,12.916666666666666,88.11666666666666,2024-01-29 14:03:30.000001024,b'7901126 ',2024,1,29,1
15.7,28.079,32.393,12.916666666666666,88.11666666666666,2024-01-29 14:03:30.000001024,b'7901126 ',2024,1,29,1
26.0,28.063,32.393,12.916666666666666,88.11666666666666,2024-01-29 14:03:30.000001024,b'7901126 ',2024,1,29,1
35.8,28.036,32.404,12.916666666666666,88.11666666666666,2024-01-29 14:03:30.000001024,b'7901126 ',2024,1,29,1
45.6,28.351,32.813,12.916666666666666,88.11666666666666,2024-01-29 14:03:30.000001024,b'7901126 ',2024,1,29,-1
55.2,28.061,33.963,12.916666666666666,88.11666666666666,2024-01-29 14:03:30.000001024,b'7901126 ',2024,1,29,-1
64.8,26.717,34.483,12.916666666666666,88.11666666666666,2024-01-29 14:03:30.000001024,b'7901126 ',2024,1,29,-1
75.4,25.284,34.759,12.916666666666666,88.11666666666666,2024-01-29 14:03:30.000001024,b'7901126 ',2024,1,29,-1
85.5,24.298,34.771,12.916666666666666,88.11666666666666,2024-01-29 14:03:30.000001024,b'7901126 ',2024,1,29,-1
95.2,22.449,34.788,12.916666666666666,88.11666666666666,2024-01-29 14:03:30.000001024,b'7901126 ',2024,1,29,-1
0.68,30.679,31.804,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
2.28,29.887,32.234,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
4.28,29.808,32.272,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
6.28,29.634,32.269,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
8.28,29.516,32.271,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
10.28,29.503,32.27,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
12.28,29.485,32.27,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
14.28,29.479,32.27,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
16.28,29.47,32.273,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
18.28,29.464,32.278,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
20.28,29.472,32.287,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
22.28,29.48,32.293,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
24.28,29.48,32.295,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
26.08,29.533,32.422,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
28.18,29.588,32.708,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
30.28,29.594,32.845,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
32.28,29.514,32.877,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
34.28,29.391,32.879,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
36.28,29.4,32.905,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
38.28,29.358,32.902,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
40.28,29.3,32.903,15.3611,90.6917,2025-10-11 08:58:38.000942592,b'5907152 ',2025,10,11,0
